BusinessEntityID,TerritoryID,StartDate,EndDate,rowguid,ModifiedDate
275,2,2005-07-01,2006-12-31,8563CE6A-00FF-47D7-BA4D-3C3E1CDEF531,2006-12-24
275,3,2007-01-01,,2F44304C-EE87-4C72-813E-CA75C5F61F4C,2006-12-25
276,4,2005-07-01,,64BCB1B3-A793-40BA-9859-D90F78C3F167,2005-06-24
277,3,2005-07-01,2006-12-31,3E9F893D-5142-46C9-A76A-867D1E3D6F90,2006-12-24
277,2,2007-01-01,,132E4721-32DD-4A73-B556-1837F3A2B9AE,2006-12-25
278,6,2005-07-01,,B7C8F9F5-5FB8-47B3-BE73-1B9A14BDF8B9,2005-06-24
279,5,2005-07-01,,57D1CDCF-62CE-499F-8BE8-1BB71C4BB7EF,2005-06-24
280,1,2005-07-01,2006-10-31,FD3F5566-10E2-4960-BE12-0365E5665881,2006-10-24
281,4,2005-07-01,,9D8754B2-C320-40DB-A77F-FF5A1BC0F46B,2005-06-24
282,6,2005-07-01,2006-06-30,2C9F5240-D8BF-4F85-897D-6083146DBC4B,2006-06-23
282,10,2006-07-01,,92375465-38C6-4C86-ABA1-9838A2969475,2006-06-24
283,1,2005-07-01,,009F7660-44A6-4ADF-BD4B-A5D1B79993F5,2005-06-24
284,1,2006-11-01,,ED12F921-8023-48EF-84BD-94D942F4C009,2006-10-25
286,9,2007-07-01,,D664D989-2BEB-4F2C-A4AA-691018965283,2007-06-24
288,8,2007-07-01,,3E1360CB-32E0-4286-8D98-8539F1AB2550,2007-06-24
289,6,2006-07-01,,987613ED-33D6-42A6-B992-0B33E9234934,2006-06-24
290,7,2006-07-01,,8895E74D-6D38-4140-BBEA-A8136A2F480E,2006-06-24
