,Customer ID,Annual Income,Maximum Open Credit,Current Credit Balance,Monthly Debt,Current Loan Amount,Number of Open Accounts,Credit Score,Term,Home Ownership,Credit Losses Probability
0,ded0b3c3-6bf4-4091-8726-47039f2c1b90,2074116.0,1058970.0,621908.0,42000.83,611314.0,9.0,747.0,Short Term,Home Mortgage,0.15946805963038407
1,1630e6e3-34e3-461a-8fda-09297d3140c8,1919190.0,904442.0,679573.0,36624.4,266662.0,11.0,734.0,Short Term,Home Mortgage,0.1682152829356711
2,2c60938b-ad2b-4702-804d-eeca43949c52,871112.0,388036.0,38532.0,8391.73,153494.0,10.0,709.0,Short Term,Rent,0.21143032386110444
3,12116614-2f3c-4d16-ad34-d92883718806,780083.0,531322.0,156940.0,16771.87,176242.0,16.0,727.0,Short Term,Rent,0.2522253523713496
4,39888105-fd5f-4023-860a-30a3e6f5ccb7,1761148.0,468072.0,359765.0,39478.77,321992.0,14.0,744.0,Short Term,Home Mortgage,0.19662968228065733
5,6878d414-6a22-4712-ae43-9b3f798e463a,760380.0,476872.0,258647.0,6526.69,202928.0,6.0,741.0,Short Term,Rent,0.22360034010141216
6,48113a98-a4a0-4956-b57d-f0ce344826fb,1783606.0,1449162.0,281599.0,36563.98,621786.0,42.0,733.0,Long Term,Home Mortgage,0.20529490679248438
7,19941661-98e2-4800-93c9-a0e92057c813,,342232.0,233206.0,12336.89,266794.0,9.0,,Long Term,Own Home,0.30048701694661745
8,6a1adeda-079b-49e5-ac7c-91828f2806a0,1068617.0,0.0,0.0,18745.21,202466.0,2.0,736.0,Short Term,Rent,0.22167650851276466
9,4080a828-a61a-4f04-a627-397f4319500c,2031518.0,251130.0,31445.0,12443.1,266288.0,8.0,683.0,Long Term,Rent,0.22741138812359776
10,8116b23d-aad4-436f-9666-e99b28c21b05,,198330.0,102087.0,10749.44,121110.0,4.0,,Short Term,Rent,0.1936890478321517
11,8ec9f388-a275-40ee-9edc-82dec9f978c3,1284514.0,266904.0,128402.0,6368.99,258104.0,12.0,723.0,Short Term,Rent,0.20844318683439422
12,db6fb330-9742-4738-a35f-810f9573684c,504374.0,388828.0,167903.0,6094.63,161722.0,13.0,680.0,Short Term,Rent,0.2861982464138075
13,3baae7fe-d27a-40af-9289-2b4626c0893f,,657646.0,384522.0,9627.49,753016.0,9.0,,Long Term,Home Mortgage,0.3041810306450372
14,622add56-97b2-4067-88c7-55eafff12017,,971872.0,318953.0,22817.86,444664.0,25.0,,Short Term,Rent,0.23871755751544801
15,4f8389cd-2ac7-40f6-a2bc-5c545838953f,669560.0,999262.0,431490.0,17966.78,172282.0,16.0,696.0,Short Term,Home Mortgage,0.21714014154660455
16,8c49e3f3-bf36-434d-a518-145c825d9455,1236976.0,264242.0,151088.0,21647.08,275440.0,13.0,729.0,Short Term,Rent,0.247141315863304
17,163b8125-8f24-4b8f-ba59-23ea017f5b48,1077262.0,502876.0,212800.0,19390.64,218834.0,37.0,742.0,Short Term,Own Home,0.22547278456701242
18,ce6fc244-b9a8-44b8-95f4-61c41ed5d03b,442339.0,284966.0,65474.0,14007.18,309276.0,14.0,715.0,Short Term,Rent,0.3132555440348316
19,bcace9c1-a4c0-4d6d-9582-fa2026c3fc0b,694526.0,272734.0,137332.0,4358.22,309276.0,5.0,715.0,Long Term,Rent,0.35693540764185494
20,bd73b695-0960-4c46-a723-4a4cc67135eb,2245116.0,1307922.0,729695.0,24134.94,346610.0,14.0,744.0,Short Term,Home Mortgage,0.1141465225952622
21,6518287d-d7df-4cba-8093-4abea80fb718,1394676.0,569778.0,164350.0,5834.33,309276.0,7.0,747.0,Short Term,Home Mortgage,0.12678857668029245
22,63e691e6-bf28-48fc-9f54-3bc72945a9bb,682898.0,553300.0,347396.0,18893.79,219648.0,8.0,722.0,Long Term,Home Mortgage,0.3317293421883641
23,61d66434-3514-4f9f-acb6-0ccdee208265,963300.0,843128.0,330581.0,16536.65,334620.0,17.0,740.0,Short Term,Home Mortgage,0.19536541254524056
24,85e3fb12-9733-40d0-ba40-c4c70a4d676f,683582.0,215380.0,121467.0,9057.49,219868.0,8.0,736.0,Short Term,Own Home,0.22868011947273045
25,c97bf871-37f7-4e65-bb79-c6eaa1d2f0b2,990185.0,343860.0,125020.0,6031.93,222816.0,8.0,708.0,Long Term,Home Mortgage,0.26365084539679395
26,aae249a1-98dc-4423-bc3f-63142c9ad00d,,1003816.0,827051.0,41882.46,108416.0,11.0,,Short Term,Rent,0.2764993718595951
27,9a561b03-ce0c-411e-85b4-73a108718cb7,747156.0,348062.0,174344.0,20235.38,108152.0,14.0,705.0,Short Term,Rent,0.28326769370813626
28,3b69f3b7-4675-4bec-be5c-332d729b284c,,126632.0,85633.0,11341.29,174724.0,4.0,,Short Term,Rent,0.2048088257158374
29,3d5b68c4-e36c-4562-ac2e-1845c8a3f138,,1054636.0,684950.0,42159.86,404008.0,16.0,,Long Term,Home Mortgage,0.3683982125695622
30,322fdfe1-0113-4a84-8a6d-e93dcfe5d7e2,2138906.0,225280.0,164008.0,27984.15,360228.0,8.0,740.0,Short Term,Home Mortgage,0.1395709958240972
31,7883d485-cd19-4e74-84e6-183b0f239996,,108064.0,16511.0,4967.36,218724.0,7.0,,Short Term,HaveMortgage,0.14637388332497922
32,6866ead5-79d6-4102-ac08-a861281efafe,979716.0,608938.0,380228.0,12899.67,441012.0,11.0,738.0,Short Term,Rent,0.25906890078514283
33,481df4a0-f256-4c49-92db-8ae7a5642bdf,1146004.0,423104.0,256139.0,14802.33,337370.0,9.0,717.0,Long Term,Rent,0.345225183616954
34,54459ce0-50d7-4957-8f18-e35f4b49214d,5951484.0,1464980.0,549100.0,61498.63,765688.0,13.0,706.0,Long Term,Rent,0.1918705132630621
35,ab86ebb2-c4f4-47dd-b430-3d6270394f8b,1833842.0,809490.0,183863.0,5898.93,468908.0,19.0,647.0,Long Term,Rent,0.26077709104518276
36,1b233b3a-bf6e-478a-be2e-673feb2f5843,1301671.0,624096.0,458679.0,22237.03,219428.0,9.0,712.0,Short Term,Rent,0.2344671208592286
37,401b284d-0f6a-443f-84be-b79e8df33620,1306592.0,306196.0,1596.0,8078.99,574904.0,4.0,706.0,Short Term,Rent,0.19838709086739015
38,3c6cdac9-88c7-4fa1-a5a1-18de2e1a3097,1539912.0,769054.0,423092.0,27500.41,401192.0,18.0,704.0,Short Term,Rent,0.24809064886331655
39,b171374b-7aa3-42bb-b242-3bca259f8f28,648508.0,621566.0,204516.0,5944.53,257444.0,10.0,736.0,Short Term,Rent,0.22752637646311136
40,16f4e4a9-6a99-417e-9c31-89579951083b,,650188.0,402059.0,23473.17,309694.0,10.0,,Long Term,Own Home,0.32177454118185794
41,55cedc7a-f5b2-4ac7-a7ef-bb2eb635ba90,,338580.0,209361.0,7207.46,214258.0,10.0,,Short Term,Rent,0.21378477486782183
